,City,Latitude,Longitude,Latitude_num,Longitude_num,avg_d_kbps
57,AR: Buenos Aires-Moreno,-34.55916666666666,-58.78861111111111,-34.55916666666666,-58.78861111111111,6556
58,AR: Buenos Aires-Florencio Varela,-34.833333333333336,-58.25,-34.833333333333336,-58.25,46156
59,AR: Córdoba-Punilla,-31.418055555555558,-64.49,-31.418055555555558,-64.49,34070
60,AR: Santiago del Estero-Río Hondo,-27.495833333333334,-64.935,-27.495833333333334,-64.935,9956
61,AR: Buenos Aires-José C. Paz,-34.51972222222222,-58.76555555555556,-34.51972222222222,-58.76555555555556,28946
62,AR: Buenos Aires-Esteban Echeverría,-34.81916666666667,-58.465833333333336,-34.81916666666667,-58.465833333333336,47290
63,AR: Corrientes-Santo Tomé,-28.25,-56.25,-28.25,-56.25,9615
64,AR: Corrientes-Empedrado,-27.833333333333332,-58.666666666666664,-27.833333333333332,-58.666666666666664,23680
65,AR: Córdoba-Ischilín,-30.5,-64.58333333333333,-30.5,-64.58333333333333,5933
66,AR: Buenos Aires-Marcos Paz,-34.833333333333336,-58.833333333333336,-34.833333333333336,-58.833333333333336,2838
67,AR: Buenos Aires-Pehuajó,-35.84444444444445,-61.8575,-35.84444444444445,-61.8575,3588
68,AR: Neuquén-Zapala,-38.97527777777778,-70.11361111111111,-38.97527777777778,-70.11361111111111,3597
69,AR: Tierra del Fuego-Río Chico,-53.015,-68.26555555555555,-53.015,-68.26555555555555,3829
70,AR: Buenos Aires-San Isidro,-34.49,-58.530277777777776,-34.49,-58.530277777777776,98349
71,AR: Buenos Aires-General Arenales,-34.25,-61.25,-34.25,-61.25,588
72,AR: Buenos Aires-Campana,-34.16305555555555,-58.95916666666667,-34.16305555555555,-58.95916666666667,35910
73,AR: Tucumán-Yerba Buena,-26.818055555555556,-65.31722222222221,-26.818055555555556,-65.31722222222221,55302
74,AR: Buenos Aires-Lobos,-35.25,-59.166666666666664,-35.25,-59.166666666666664,18384
75,AR: Buenos Aires-Pilar,-34.45861111111111,-58.913888888888884,-34.45861111111111,-58.913888888888884,70178
76,AR: Entre Ríos-Colon,-32.00361111111111,-58.363055555555555,-32.00361111111111,-58.363055555555555,2200
77,AR: Buenos Aires-Ezeiza (GBA)-Unión,0.0,0.0,0.0,0.0,343
78,AR: La Pampa-Guatraché,-37.5,-63.75,-37.5,-63.75,811
79,AR: Córdoba-Tercero Arriba,-32.17666666666666,-64.11277777777777,-32.17666666666666,-64.11277777777777,11971
80,AR: Chubut-Cushamen,-42.5,-70.83333333333333,-42.5,-70.83333333333333,4864
81,AR: Santa Cruz-Puerto Deseado,-47.73527777777778,-65.9038888888889,-47.73527777777778,-65.9038888888889,4350
82,AR: Jujuy-San Pedro (Est. San Pedro de Jujuy),0.0,0.0,0.0,0.0,343
83,AR: Chaco-Presidencia Roque Sáenz Peña,-26.790833333333335,-60.441111111111105,-26.790833333333335,-60.441111111111105,11174
84,AR: Santiago del Estero-Banda,-27.5,-64.33333333333333,-27.5,-64.33333333333333,15852
85,AR: Catamarca-Santa María,-26.666666666666668,-66.41666666666667,-26.666666666666668,-66.41666666666667,5027
86,AR: Buenos Aires-Lomas de Zamora,-34.75,-58.416666666666664,-34.75,-58.416666666666664,87990
87,AR: Buenos Aires-Daireaux,-36.59805555555556,-61.74305555555556,-36.59805555555556,-61.74305555555556,7875
88,AR: Buenos Aires-Malvinas Argentinas,-34.5075,-58.69555555555555,-34.5075,-58.69555555555555,19059
89,AR: Buenos Aires-Caseros,-34.60666666666667,-58.56388888888888,-34.60666666666667,-58.56388888888888,60018
90,AR: La Pampa-Maracó,-35.659166666666664,-63.757777777777775,-35.659166666666664,-63.757777777777775,49500
91,AR: Buenos Aires-Coronel Brandsen,-35.25,-58.166666666666664,-35.25,-58.166666666666664,28048
92,AR: Neuquén-Confluencia,-38.95138888888889,-68.05888888888889,-38.95138888888889,-68.05888888888889,54573
93,AR: Salta-Rosario de la Frontera,-25.916666666666668,-64.83333333333333,-25.916666666666668,-64.83333333333333,1311
94,AR: Buenos Aires-Castelli,-36.0,-57.666666666666664,-36.0,-57.666666666666664,7672
95,AR: Buenos Aires-Tigre,-34.49444444444445,-58.62722222222222,-34.49444444444445,-58.62722222222222,26983
96,AR: Córdoba-Río Segundo,-31.65,-63.91138888888889,-31.65,-63.91138888888889,9219
97,AR: Entre Ríos-Gualeguaychú,-33.007777777777775,-58.51833333333333,-33.007777777777775,-58.51833333333333,43362
98,AR: Buenos Aires-Ituzaingó,-34.66027777777778,-58.66611111111111,-34.66027777777778,-58.66611111111111,62271
99,AR: Salta-San Ramón de la Nueva Orán,-23.136944444444445,-64.32416666666666,-23.136944444444445,-64.32416666666666,9924
100,AR: Buenos Aires-Junín,-34.59388888888889,-60.94638888888888,-34.59388888888889,-60.94638888888888,50393
101,AR: Buenos Aires-Pergamino,-33.89083333333333,-60.574444444444445,-33.89083333333333,-60.574444444444445,86443
102,AR: Chubut-Escalante,-45.862500000000004,-67.49388888888889,-45.862500000000004,-67.49388888888889,7469
