	(1)	(2)	(3)
VARIABLES	ivq25 may	ivq25 may	ivq25 may
			
s26_h	0.194*	0.245***	0.291***
	(0.102)	(0.0909)	(0.101)
s26_b	-0.182	-0.173	-0.165
	(0.125)	(0.122)	(0.145)
s1	-0.182***	-0.227***	-0.267***
	(0.0375)	(0.0378)	(0.0455)
SNU	0.308**	0.203*	0.107
	(0.124)	(0.104)	(0.110)
Constant	8.044***	10.16***	12.09***
	(0.265)	(0.243)	(0.284)
			
Observations	2,983	2,983	2,983
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
