	(1)	(2)	(3)
VARIABLES	siqr25	siqr50	siqr75
			
SNU	0.325	0.158	0.576**
	(0.270)	(0.188)	(0.272)
s26_h	0.325***	0.245***	0.290***
	(0.0447)	(0.0511)	(0.0356)
s26_b	-0.0638*	-0.0285	-0.0335
	(0.0376)	(0.0309)	(0.0734)
s1	-0.228***	-0.208***	-0.224***
	(0.0219)	(0.0199)	(0.0291)
Constant	8.262***	10.27***	11.61***
	(0.296)	(0.184)	(0.291)
			
Observations	19,749	19,749	19,749
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
