,City,Latitude,Longitude,Latitude_num,Longitude_num,avg_d_kbps
0,AR: Capital Federal-Ciudad de Buenos Aires,-34.613055555555555,-58.37722222222222,-34.613055555555555,-58.37722222222222,174489
1,AR: Mendoza-San Jose,-32.37111111111111,-68.21777777777778,-32.37111111111111,-68.21777777777778,1147
2,AR: Mendoza-Lujan de Cuyo,-33.0,-69.33333333333333,-33.0,-69.33333333333333,3890
3,AR: Mendoza-Guaymallen,-32.89083333333333,-68.82694444444444,-32.89083333333333,-68.82694444444444,44292
4,AR: Mendoza-Perdriel,-33.07472222222223,-68.88833333333334,-33.07472222222223,-68.88833333333334,57348
5,AR: San Juan-Chimbas,-31.487222222222222,-68.52666666666667,-31.487222222222222,-68.52666666666667,41535
6,AR: San Luis-Villa Mercedes,-33.675555555555555,-65.45777777777778,-33.675555555555555,-65.45777777777778,20198
7,AR: La Rioja-Chamical,-30.25,-65.83333333333333,-30.25,-65.83333333333333,12300
8,AR: La Rioja-Nonogasta,-29.305,-67.50222222222222,-29.305,-67.50222222222222,12236
9,AR: Chaco-Presidencia Roque Saenz Pena,-26.790833333333335,-60.441111111111105,-26.790833333333335,-60.441111111111105,97486
10,AR: Chaco-Puerto Vilelas,-27.510833333333334,-58.94166666666666,-27.510833333333334,-58.94166666666666,7782
11,AR: Corrientes-Goya,-29.139722222222222,-59.263333333333335,-29.139722222222222,-59.263333333333335,80288
12,AR: Entre Rios-San Antonio de Padua de la Concordia,0.0,0.0,0.0,0.0,24021
13,AR: Entre Rios-Colon,-32.00361111111111,-58.363055555555555,-32.00361111111111,-58.363055555555555,1556
14,AR: Entre Rios-Diamante,-32.166666666666664,-60.416666666666664,-32.166666666666664,-60.416666666666664,3504
15,AR: Formosa-Las Lomitas,-24.7,-60.583333333333336,-24.7,-60.583333333333336,3194
16,AR: Misiones-Puerto Iguazu,-25.598888888888887,-54.57333333333334,-25.598888888888887,-54.57333333333334,83567
17,AR: Misiones-Gran Posadas,0.0,0.0,0.0,0.0,24021
18,AR: Misiones-Leandro N. Alem,-27.566666666666666,-55.333333333333336,-27.566666666666666,-55.333333333333336,33422
19,AR: Jujuy-Gran San Salvador de Jujuy,0.0,0.0,0.0,0.0,24021
20,AR: Jujuy-Ledesma-Libertador General San Martin,-23.813055555555557,-64.79333333333334,-23.813055555555557,-64.79333333333334,4539
21,AR: Salta-Salta,-24.785833333333336,-65.41166666666668,-24.785833333333336,-65.41166666666668,85220
22,AR: Salta-San Ramon de la Nueva Oran,-23.136944444444445,-64.32416666666666,-23.136944444444445,-64.32416666666666,51413
23,AR: Santiago del Estero-Santiago del Estero,-28.0,-63.5,-28.0,-63.5,7594
24,AR: Tucuman-Delfin Gallo - La Florida,0.0,0.0,0.0,0.0,24021
25,AR: Buenos Aires-Almirante Brown,-34.833333333333336,-58.333333333333336,-34.833333333333336,-58.333333333333336,18633
26,AR: Buenos Aires-Avellaneda,-34.666666666666664,-58.333333333333336,-34.666666666666664,-58.333333333333336,14712
27,AR: Buenos Aires-Bahia Blanca,-38.7175,-62.265277777777776,-38.7175,-62.265277777777776,52041
28,AR: Buenos Aires-Berazategui,-34.765277777777776,-58.21277777777778,-34.765277777777776,-58.21277777777778,202532
29,AR: Buenos Aires-Esteban Echeverria,-34.81916666666667,-58.465833333333336,-34.81916666666667,-58.465833333333336,188269
30,AR: Buenos Aires-Florencio Varela,-34.833333333333336,-58.25,-34.833333333333336,-58.25,211
31,AR: Buenos Aires-General San Martin,-34.573055555555555,-58.54083333333333,-34.573055555555555,-58.54083333333333,133509
32,AR: Buenos Aires-Gran La Plata,-34.87777777777778,-58.08361111111111,-34.87777777777778,-58.08361111111111,140955
33,AR: Buenos Aires-Hurlingham (GBA),0.0,0.0,0.0,0.0,24021
34,AR: Buenos Aires-Jose C. Paz,-34.51972222222222,-58.76555555555556,-34.51972222222222,-58.76555555555556,116867
35,AR: Buenos Aires-La Matanza,-34.75,-58.583333333333336,-34.75,-58.583333333333336,139456
36,AR: Buenos Aires-Lanus,-34.666666666666664,-58.416666666666664,-34.666666666666664,-58.416666666666664,182088
37,AR: Buenos Aires-Lomas de Zamora,-34.75,-58.416666666666664,-34.75,-58.416666666666664,75651
38,AR: Buenos Aires-Malvinas Argentinas,-34.5075,-58.69555555555555,-34.5075,-58.69555555555555,114048
39,AR: Buenos Aires-Merlo,-34.665277777777774,-58.727222222222224,-34.665277777777774,-58.727222222222224,156281
40,AR: Buenos Aires-Moreno,-34.55916666666666,-58.78861111111111,-34.55916666666666,-58.78861111111111,8848
41,AR: Buenos Aires-Moron,-34.651111111111106,-58.621944444444445,-34.651111111111106,-58.621944444444445,151667
42,AR: Buenos Aires-Quilmes,-34.720555555555556,-58.254444444444445,-34.720555555555556,-58.254444444444445,145636
43,AR: Buenos Aires-Saladillo,-35.75,-59.666666666666664,-35.75,-59.666666666666664,1951
44,AR: Buenos Aires-San Fernando,-34.445277777777775,-58.54194444444444,-34.445277777777775,-58.54194444444444,124783
45,AR: Buenos Aires-San Isidro,-34.49,-58.530277777777776,-34.49,-58.530277777777776,170140
46,AR: Buenos Aires-San Miguel (GBA),0.0,0.0,0.0,0.0,24021
47,AR: Buenos Aires-Tigre,-34.49444444444445,-58.62722222222222,-34.49444444444445,-58.62722222222222,104542
48,AR: Buenos Aires-Tres de Febrero,-34.599722222222226,-58.56583333333333,-34.599722222222226,-58.56583333333333,172651
49,AR: Buenos Aires-Vicente Lopez,-34.52333333333333,-58.47416666666667,-34.52333333333333,-58.47416666666667,166935
50,AR: Buenos Aires-Pilar,-34.45861111111111,-58.913888888888884,-34.45861111111111,-58.913888888888884,97462
51,AR: Buenos Aires-Escobar,-34.333333333333336,-58.75,-34.333333333333336,-58.75,156774
52,AR: Buenos Aires-Ituzaingo,-34.66027777777778,-58.66611111111111,-34.66027777777778,-58.66611111111111,177147
