,City,Latitude,Longitude,avg_d_kbps,avg_u_kbps,avg_lat_ms
60,AR: Santiago del Estero-RÃ­o Hondo,-27.495833333333334,-64.935,4389,6952,33
61,AR: Buenos Aires-JosÃ© C. Paz,-34.515277777777776,-58.768055555555556,44796,32770,11
62,AR: Buenos Aires-Esteban EcheverrÃ­a,-34.81916666666667,-58.465833333333336,47815,16038,10
63,AR: Corrientes-Santo TomÃ©,-28.25,-56.25,7927,7641,80
64,AR: Corrientes-Empedrado,-27.833333333333332,-58.666666666666664,6994,4829,43
65,AR: CÃ³rdoba-IschilÃ­n,-30.5,-64.58333333333333,6628,1358,27
66,AR: Buenos Aires-Marcos Paz,-34.833333333333336,-58.833333333333336,729,276,6
67,AR: Buenos Aires-PehuajÃ³,-35.916666666666664,-61.75,20867,770,769
68,AR: NeuquÃ©n-Zapala,-38.97527777777778,-70.11361111111111,6031,1783,36
69,AR: Tierra del Fuego-RÃ­o Chico,-53.015,-68.26555555555555,25107,22659,75
70,AR: Buenos Aires-San Isidro,-34.49,-58.530277777777776,33424,7545,15
71,AR: Buenos Aires-General Arenales,-34.25,-61.25,1767,2317,38
72,AR: Buenos Aires-Campana,-34.16305555555555,-58.95916666666667,61298,11638,9
73,AR: TucumÃ¡n-Yerba Buena,-26.816666666666666,-65.31666666666666,3863,3245,42
74,AR: Buenos Aires-Lobos,-35.25,-59.166666666666664,9632,4765,3
75,AR: Buenos Aires-Pilar,-34.45861111111111,-58.91416666666667,44623,17206,10
76,AR: Entre RÃ­os-Colon,-32.00361111111111,-58.363055555555555,4836,1913,47
77,AR: Buenos Aires-Ezeiza (GBA)-UniÃ³n,0.0,0.0,29513,31213,23
78,AR: La Pampa-GuatrachÃ©,-37.5,-63.75,2825,358,58
79,AR: CÃ³rdoba-Tercero Arriba,-32.172777777777775,-64.11388888888888,33465,6309,13
80,AR: Chubut-Cushamen,-42.5,-70.83333333333333,2812,2658,38
81,AR: Santa Cruz-Puerto Deseado,-47.73527777777778,-65.9038888888889,8903,1170,32
82,AR: Jujuy-San Pedro (Est. San Pedro de Jujuy),0.0,0.0,29513,31213,23
83,AR: Chaco-Presidencia Roque SÃ¡enz PeÃ±a,-26.785,-60.43861111111111,18175,13645,21
84,AR: Santiago del Estero-Banda,-27.5,-64.33333333333333,2727,463,37
85,AR: Catamarca-Santa MarÃ­a,-26.666666666666668,-66.41666666666667,10198,5090,76
86,AR: Buenos Aires-Lomas de Zamora,-34.75,-58.416666666666664,52569,20296,9
87,AR: Buenos Aires-Daireaux,-36.59805555555556,-61.74305555555556,5674,1409,48
88,AR: Buenos Aires-Malvinas Argentinas,-34.5075,-58.69555555555555,102583,72659,6
89,AR: Buenos Aires-Caseros,-34.60333333333333,-58.56388888888888,34443,8292,13
90,AR: La Pampa-MaracÃ³,-35.659166666666664,-63.757777777777775,10581,9082,33
91,AR: Buenos Aires-Coronel Brandsen,-35.25,-58.166666666666664,38853,49305,6
92,AR: NeuquÃ©n-Confluencia,-38.95138888888889,-68.05888888888889,49970,21501,35
93,AR: Salta-Rosario de la Frontera,-25.916666666666668,-64.83333333333333,16194,1546,52
94,AR: Buenos Aires-Castelli,-36.0,-57.666666666666664,11500,13294,34
95,AR: Buenos Aires-Tigre,-34.42583333333333,-58.57944444444445,63519,11527,11
96,AR: CÃ³rdoba-RÃ­o Segundo,-31.6525,-63.90972222222222,6030,1198,47
97,AR: Entre RÃ­os-GualeguaychÃº,-33.009166666666665,-58.51722222222222,35952,6247,21
98,AR: Buenos Aires-ItuzaingÃ³,-34.66027777777778,-58.66611111111111,58164,22884,10
99,AR: Salta-San RamÃ³n de la Nueva OrÃ¡n,-23.136944444444445,-64.32416666666666,7763,1652,32
100,AR: Buenos Aires-JunÃ­n,-34.58361111111111,-60.94305555555555,39340,7935,19
101,AR: Buenos Aires-Pergamino,-33.88972222222222,-60.57333333333334,72186,7687,20
102,AR: Chubut-Escalante,-45.333333333333336,-67.33333333333333,1675,893,8
