,City,Latitude,Longitude,Latitude_num,Longitude_num,avg_d_kbps
108,BR: Sudeste-Varginha,-21.565555555555555,-45.41166666666666,-21.565555555555555,-45.41166666666666,30781
109,BR: Sudeste-Presidente Bernardes,-22.130833333333335,-51.64416666666666,-22.130833333333335,-51.64416666666666,909
110,BR: Sudeste-Rio De Janeiro,-22.906388888888888,-43.18222222222222,-22.906388888888888,-43.18222222222222,28907
111,BR: Sudeste-Duque De Caxias,-22.785555555555558,-43.31166666666666,-22.785555555555558,-43.31166666666666,32107
112,BR: Sudeste-Sao Joao De Meriti,-22.80388888888889,-43.37222222222222,-22.80388888888889,-43.37222222222222,14058
113,BR: Sudeste-Mage,-22.652777777777775,-43.04055555555556,-22.652777777777775,-43.04055555555556,18923
114,BR: Sudeste-Niteroi,-22.883333333333333,-43.103611111111114,-22.883333333333333,-43.103611111111114,26900
115,BR: Sudeste-Sao Goncalo,-21.892222222222223,-45.59527777777778,-21.892222222222223,-45.59527777777778,5825
116,BR: Sudeste-Rio das Ostras,-22.454444444444444,-41.94916666666666,-22.454444444444444,-41.94916666666666,15510
117,BR: Sudeste-Itaocara,-21.77,-42.07472222222223,-21.77,-42.07472222222223,12898
118,BR: Sudeste-Sao Paulo,-23.547500000000003,-46.63611111111111,-23.547500000000003,-46.63611111111111,67905
119,BR: Sudeste-Carapicuiba,-23.522499999999997,-46.835,-23.522499999999997,-46.835,26255
120,BR: Sudeste-Osasco,-23.52611111111111,-46.788333333333334,-23.52611111111111,-46.788333333333334,51764
121,BR: Sudeste-Guarulhos,-23.462777777777777,-46.53333333333333,-23.462777777777777,-46.53333333333333,58923
122,BR: Sudeste-Moji Das Cruzes,-23.522777777777776,-46.18833333333333,-23.522777777777776,-46.18833333333333,39903
123,BR: Sudeste-Cotia,-23.67027777777778,-46.94694444444444,-23.67027777777778,-46.94694444444444,7282
124,BR: Sudeste-Diadema,-23.68611111111111,-46.62277777777778,-23.68611111111111,-46.62277777777778,67148
125,BR: Sudeste-Santo Andre,-23.663888888888888,-46.538333333333334,-23.663888888888888,-46.538333333333334,59279
126,BR: Sudeste-Sao Bernardo Do Campo,-23.69388888888889,-46.565,-23.69388888888889,-46.565,51724
127,BR: Sudeste-Guaruja,-23.993055555555557,-46.256388888888885,-23.993055555555557,-46.256388888888885,37261
128,BR: Sudeste-Rio das Pedras,-22.840555555555554,-47.59722222222222,-22.840555555555554,-47.59722222222222,4194
129,BR: Sudeste-Sorocaba,-23.501666666666665,-47.45805555555556,-23.501666666666665,-47.45805555555556,43852
130,BR: Sudeste-Sao Jose dos Campos,-23.179444444444446,-45.886944444444445,-23.179444444444446,-45.886944444444445,13621
131,BR: Sudeste-Campinas,-22.905555555555555,-47.06083333333333,-22.905555555555555,-47.06083333333333,44406
132,BR: Sudeste-Barretos,-20.557222222222222,-48.56777777777778,-20.557222222222222,-48.56777777777778,36188
133,BR: Sudeste-Ribeirao Preto,-21.177500000000002,-47.81027777777778,-21.177500000000002,-47.81027777777778,40847
134,BR: Sudeste-Araraquara,-21.794444444444448,-48.175555555555555,-21.794444444444448,-48.175555555555555,41631
135,BR: Sudeste-Barbosa,-21.87472222222222,-43.305,-21.87472222222222,-43.305,5451
136,BR: Sul-Curitiba,-25.42777777777778,-49.27305555555555,-25.42777777777778,-49.27305555555555,29016
137,BR: Sul-Araucaria,-25.593055555555555,-49.41027777777778,-25.593055555555555,-49.41027777777778,21724
138,BR: Sul-Sao Jose Dos Pinhais,-25.529999999999998,-49.208333333333336,-25.529999999999998,-49.208333333333336,72519
139,BR: Sul-Sarandi,-27.923333333333336,-52.93444444444444,-27.923333333333336,-52.93444444444444,9671
140,BR: Sul-Umuarama,-23.71,-53.385,-23.71,-53.385,4177
141,BR: Sul-Santa Helena,-26.923333333333336,-53.60888888888889,-26.923333333333336,-53.60888888888889,14686
142,BR: Sul-Porto Alegre,-30.032777777777778,-51.230000000000004,-30.032777777777778,-51.230000000000004,23591
143,BR: Sul-Cachoeirinha,-29.95111111111111,-51.09388888888889,-29.95111111111111,-51.09388888888889,39208
144,BR: Sul-Gravatai,-29.941944444444445,-50.99277777777778,-29.941944444444445,-50.99277777777778,23991
145,BR: Sul-Sapucaia Do Sul,-29.833333333333332,-51.15,-29.833333333333332,-51.15,23758
146,BR: Sul-Cotipora,-29.006944444444443,-51.695277777777775,-29.006944444444443,-51.695277777777775,222055
147,BR: Sul-Ponte Preta,-27.67666666666667,-52.51722222222222,-27.67666666666667,-52.51722222222222,978
148,BR: Sul-Cachoeira do Sul,-30.039166666666667,-52.89388888888889,-30.039166666666667,-52.89388888888889,46657
149,BR: Sul-Blumenau,-26.919444444444444,-49.066111111111105,-26.919444444444444,-49.066111111111105,23431
150,BR: Sul-Mafra,-26.200833333333332,-49.88916666666667,-26.200833333333332,-49.88916666666667,643
151,BR: Sul-Sao Miguel do Oeste,-26.71861111111111,-53.51916666666666,-26.71861111111111,-53.51916666666666,27507
152,BR: Centro Oeste-Brasilia,-15.0,-52.0,-15.0,-52.0,813
153,BR: Centro Oeste-Goiania,-16.678611111111113,-49.25388888888889,-16.678611111111113,-49.25388888888889,24568
154,BR: Centro Oeste-Itapaci,-14.920833333333333,-49.702222222222225,-14.920833333333333,-49.702222222222225,4131
155,BR: Centro Oeste-Formosa,-15.537222222222223,-47.33444444444444,-15.537222222222223,-47.33444444444444,9045
156,BR: Centro Oeste-Campo Grande,-20.442777777777778,-54.646388888888886,-20.442777777777778,-54.646388888888886,89019
157,BR: Centro Oeste-Cuiaba,-15.596111111111112,-56.09666666666667,-15.596111111111112,-56.09666666666667,28328
158,-,47.467777777777776,-77.79722222222222,47.467777777777776,-77.79722222222222,8991
159,CL: Tarapaca-Iquique,-20.213055555555556,-70.15027777777779,-20.213055555555556,-70.15027777777779,83181
160,CL: Tarapaca-Alto Hospicio,-20.26861111111111,-70.10472222222222,-20.26861111111111,-70.10472222222222,127332
161,CL: Antofagasta-Calama,-22.456666666666667,-68.92361111111111,-22.456666666666667,-68.92361111111111,26746
162,CL: Antofagasta-Antofagasta,-23.65222222222222,-70.39527777777778,-23.65222222222222,-70.39527777777778,68842
163,CL: Atacama-Copiapo,-27.366666666666667,-70.33138888888888,-27.366666666666667,-70.33138888888888,81847
164,CL: Atacama-Vallenar,-28.59638888888889,-70.75583333333333,-28.59638888888889,-70.75583333333333,51931
165,CL: Atacama-Tieera amarilla,0.0,0.0,0.0,0.0,149
166,CL: Coquimbo-La Serena,-29.904444444444444,-71.24888888888889,-29.904444444444444,-71.24888888888889,13982
167,CL: Metropolitana-Santiago-Riomar,0.0,0.0,0.0,0.0,149
168,CL: Coquimbo-Los Vilos,-31.912777777777777,-71.50027777777778,-31.912777777777777,-71.50027777777778,1993
169,CL: Coquimbo-Salamanca,-31.779166666666665,-70.96388888888889,-31.779166666666665,-70.96388888888889,2941
170,CL: Coquimbo-Coquimbo,-30.75,-71.0,-30.75,-71.0,3757
171,CL: Coquimbo-Ovalle,-30.600833333333334,-71.19888888888889,-30.600833333333334,-71.19888888888889,46446
172,CL: Valparaiso-Quilpue,-33.0475,-71.44250000000001,-33.0475,-71.44250000000001,82620
173,CL: Valparaiso-La Calera,-32.78333333333333,-71.21666666666667,-32.78333333333333,-71.21666666666667,160889
174,CL: Valparaiso-Villa Alemana,-33.04805555555556,-71.37277777777777,-33.04805555555556,-71.37277777777777,12853
175,CL: Valparaiso-Hijuelas,-32.79805555555556,-71.14611111111111,-32.79805555555556,-71.14611111111111,6066
176,CL: Valparaiso-Concon,-32.94944444444444,-71.47833333333334,-32.94944444444444,-71.47833333333334,7017
177,CL: Valparaiso-Vina Del Mar,-33.02444444444444,-71.55166666666666,-33.02444444444444,-71.55166666666666,89112
178,CL: Valparaiso-Valparaiso,-33.03583333333333,-71.62944444444443,-33.03583333333333,-71.62944444444443,36842
179,CL: Valparaiso-Quillota,-32.88333333333333,-71.24861111111112,-32.88333333333333,-71.24861111111112,32346
180,CL: Valparaiso-San Felipe,-32.749722222222225,-70.72583333333334,-32.749722222222225,-70.72583333333334,3356
181,CL: Valparaiso-Olmue,-32.996944444444445,-71.1713888888889,-32.996944444444445,-71.1713888888889,5176
182,CL: Valparaiso-Los Andes,-32.83361111111111,-70.59805555555555,-32.83361111111111,-70.59805555555555,68618
183,CL: Valparaiso-Calle Larga,-32.85472222222222,-70.62583333333333,-32.85472222222222,-70.62583333333333,71412
184,CL: Valparaiso-San Antonio,-33.594722222222224,-71.60722222222222,-33.594722222222224,-71.60722222222222,46728
185,CL: Metropolitana-Santiago,-33.456944444444446,-70.64805555555556,-33.456944444444446,-70.64805555555556,113962
186,CL: Metropolitana-Melipilla,-33.68888888888888,-71.21527777777779,-33.68888888888888,-71.21527777777779,106160
187,CL: Metropolitana-Curacavi,-33.3975,-71.12694444444443,-33.3975,-71.12694444444443,5502
188,CL: Metropolitana-Buin,-33.7325,-70.74277777777777,-33.7325,-70.74277777777777,34323
189,CL: Metropolitana-Santiago-El Monte,-33.67944444444444,-70.98472222222222,-33.67944444444444,-70.98472222222222,17396
190,CL: Metropolitana-Colonia Alemana,0.0,0.0,0.0,0.0,149
191,CL: Metropolitana-Calera De Tango,-33.61666666666667,-70.8,-33.61666666666667,-70.8,2279
192,CL: Metropolitana-Til Til,-33.02833333333333,-70.87972222222221,-33.02833333333333,-70.87972222222221,4404
193,CL: Valparaiso-Los Andes-Santa Tereza,0.0,0.0,0.0,0.0,149
194,CL: Metropolitana-Talagante,-33.66361111111111,-70.92722222222223,-33.66361111111111,-70.92722222222223,32573
195,CL: Valparaiso-Pueblo de indios,-32.90694444444444,-71.21583333333334,-32.90694444444444,-71.21583333333334,7175
196,CL: Libertador Bernardo OHiggins-Graneros,0.0,0.0,0.0,0.0,149
197,CL: Metropolitana-El Peral,-33.943888888888885,-71.66555555555556,-33.943888888888885,-71.66555555555556,58
